Source,Min Price,Max Price,Deviation Percentage
ascendex,0.71402957847,0.872477841169993,22.19
binance,0.7140678655,0.8732781877735202,22.30
binanceus,0.6275,0.7244,15.44
bitcoincom,0.7139993554872178,0.8727988802013329,22.24
bittrex,0.74764,0.8823,18.01
btcturk,0.714549978,0.8722343303234843,22.07
cex,0.71373,0.87384,22.43
coinbaseprime,0.7135,0.8757,22.73
coinbasepro,0.7135,0.8757,22.73
coingecko,0.713731,0.874746,22.56
currencycom,0.71329,0.87207,22.26
hitbtc,0.7139993554872178,0.8727988802013329,22.24
huobipro,0.71400757913,0.8723828000108242,22.18
kraken,0.7137,0.8736,22.40
kucoin,0.713378598,0.8733782310989611,22.43
lbank,0.713478595,0.873834943843977,22.48
okx,0.7140678655,0.8737784044007245,22.37
poloniex,0.7140984524970235,0.8746852697767387,22.49
probit,0.7138055759368288,0.872597893160522,22.25
uniswap,0.8752063704294252,0.8752063704294252,0.00
binanceusdm,0.7136784651698954,0.8739784910516064,22.46
