DEX,TokenA,TokenB,Price Token B in A,Price Token A in B,Pool Size,Slip1e4AtoB,Slip1e4BtoA,Slip1e6AtoB,Slip1e6BtoA,Slip1e8AtoB,Slip1e8BtoA,SlipRelated1e-3AtoB,SlipRelated1e-3BtoA,SlipRelated1e-2AtoB,SlipRelated1e-2BtoA,SlipRelated1e-1AtoB,SlipRelated1e-1BtoA

Uniswap V3,BAL,WETH,406.272380476506100422,0.002461402861861115,77463.86,-40.19,-2.08,-99.40,-91.46,-99.99,-99.91,-0.02,-0.02,-0.22,-0.16,-22.79,-1.62
Uniswap V3,USDC,WETH,1919.348225,0.000521010198657411,285774766.35,-0.00,-0.00,-0.04,-0.02,-7.76,-6.54,-0.01,-0.01,-0.15,-0.07,-1.83,-1.32
Uniswap V3,DAI,WETH,1919.541748975178734327,0.000520957671555666,9064099.33,-0.04,-0.03,-5.83,-1.39,-97.57,-92.47,-0.04,-0.03,-0.40,-0.27,-4.99,-1.29
Uniswap V3,UNI,WETH,320.676294344932557578,0.003118409491549005,283921.08,-77.95,-24.93,-99.78,-64.63,-100.00,-99.65,-7.21,-5.64,-43.85,-20.37,-92.23,-31.82
Uniswap V3,DIA,WETH,7240.682095471846878354,0.000138108535468692,34446.18,-73.54,-16.51,-99.74,-96.09,-100.00,-99.96,-0.11,-0.08,-1.06,-0.81,-23.18,-7.53
Uniswap V2,USDC,WETH,1923.655429,0.000519843619041402,64044370.88,-0.04,-0.03,-3.48,-2.67,-78.29,-73.26,-0.23,-0.18,-2.26,-1.72,-18.76,-14.93
SushiSwap,USDC,WETH,1923.498538,0.000519886020313679,20322034.91,-0.11,-0.09,-10.20,-7.95,-91.91,-89.62,-0.23,-0.18,-2.26,-1.72,-18.76,-14.93
Uniswap V2,USDC,UNI,6.075299,0.164600952150667806,8671.51,-69.71,-69.68,-99.57,-99.57,-100.00,-100.00,-0.20,-0.20,-1.96,-1.95,-16.64,-16.61
Uniswap V2,WETH,UNI,0.003164549802046459,316.000714968466411392,13573866.96,-0.13,-0.17,-11.44,-14.54,-92.82,-94.45,-0.18,-0.23,-1.72,-2.26,-14.92,-18.77
SushiSwap,WETH,UNI,0.003158462452856626,316.609747599045988409,291563.46,-5.68,-7.33,-85.76,-88.78,-99.83,-99.87,-0.18,-0.23,-1.73,-2.26,-14.93,-18.75
Uniswap V2,WETH,DAI,0.000521099353970927,1919.019842146631390278,18003591.99,-0.10,-0.13,-8.87,-11.38,-90.68,-92.78,-0.17,-0.23,-1.72,-2.26,-14.91,-18.78
SushiSwap,WETH,DAI,0.000519865722308853,1923.573640436901996509,9245998.62,-0.19,-0.25,-15.95,-19.99,-94.99,-96.15,-0.18,-0.23,-1.72,-2.26,-14.92,-18.76
Uniswap V3,BEN,WETH,33549824663.148441314697265625,0.000000000029806415,332998597495.34,-0.00,-0.66,-0.00,-42.88,-0.03,-98.75,-0.08,-99.62,-0.83,-99.96,-7.78,-100.00
Uniswap V3,RLB,WETH,17782.896581636778137181,0.000056233808446743,1779930.93,-0.33,-0.25,-33.20,-23.29,-99.22,-99.06,-0.06,-0.04,-0.59,-0.45,-5.61,-4.42
Uniswap V3,PUNDIX,WETH,4367.299675481729536841,0.000228974440571151,1135591.58,-0.56,-0.42,-77.88,-29.46,-99.78,-98.96,-0.06,-0.05,-0.63,-0.48,-6.00,-4.61
Uniswap V3,BONE,WETH,1853.175097723626777224,0.000539614417023175,26.66,-99.87,-99.86,-100.00,-100.00,-100.00,-100.00,-0.23,-0.22,-2.03,-1.94,-17.03,-16.34
Uniswap V3,XEN,WETH,1390210478.422322988510131836,0.000000000719315539,80.63,-100.00,-99.27,-100.00,-99.99,-100.00,-100.00,-70.64,-56.42,-96.06,-70.77,-99.59,-72.56
Uniswap V3,WBTC,USDC,0.00003313,30184.123151,2275423.10,-0.02,-0.04,-10.87,-2.85,-99.00,-98.78,0.00,-0.02,-0.07,-0.08,-0.89,-0.74
Uniswap V3,PSYOP,WETH,541034.229562506894581020,0.000001848311891114,88.61,-99.99,-97.57,-100.00,-99.97,-100.00,-100.00,-5.00,-1.77,-34.22,-5.25,-90.89,-5.70
Uniswap V3,OX,WETH,43960.343913791024533566,0.000022747774720804,3728381.43,-0.23,-0.17,-18.56,-21.04,-97.97,-98.85,-0.09,-0.06,-0.84,-0.64,-7.57,-6.91
