Weight Strategy,Weighted Median Price,0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd,0x0eB1C92f9f5EC9D817968AfDdB4B46c564cdeDBe

Buy paired 1%,2550.2386105035357,0.004617253948967193,0.9720534629404617,0.023329283110571083
Sell paired 1%,2550.2386105035357,0.04927536231884058,0.6608695652173913,0.2898550724637681
Buy paired 2%,2550.2386105035357,0.0048543689320388345,0.970873786407767,0.024271844660194174
Sell paired 2%,2550.2386105035357,0.04815864022662889,0.6685552407932012,0.28328611898017
Buy paired 3%,2550.2386105035357,0.0048543689320388345,0.970873786407767,0.024271844660194174
Sell paired 3%,2550.2386105035357,0.04815864022662889,0.6685552407932012,0.28328611898017
Buy paired $10k,2550.2386105035357,0.33333333333333337,0.33333333333333337,0.33333333333333337
Sell paired $10k,2550.2386105035357,0.33333333333333337,0.33333333333333337,0.33333333333333337
Buy paired $20k,2550.2386105035357,0.33333333333333337,0.33333333333333337,0.33333333333333337
Sell paired $20k,2550.2386105035357,0.33333333333333337,0.33333333333333337,0.33333333333333337
Buy paired $50k,2550.2386105035357,0.04761904761904762,0.47619047619047616,0.47619047619047616
Sell paired $50k,2550.2386105035357,0.04761904761904762,0.47619047619047616,0.47619047619047616
Buy paired $100k,2550.2386105035357,0.08333333333333334,0.8333333333333333,0.08333333333333334
Sell paired $100k,2550.2386105035357,0.08333333333333334,0.8333333333333333,0.08333333333333334
Buy paired $200k,2550.2386105035357,0.04347826086956522,0.8695652173913043,0.08695652173913045
Sell paired $200k,2550.2386105035357,0.04347826086956522,0.8695652173913043,0.08695652173913045
Buy paired $500k,2550.2386105035357,0.000146686713850893,0.9754666471084381,0.02438666617771096
Sell paired $500k,2550.2386105035357,0.00005409108939454041,0.9676895892683278,0.032256319642277605
Buy paired $1000k,2550.2386105035357,0.000018568653884005334,0.9900806250951644,0.009900806250951645
Sell paired $1000k,2550.2386105035357,0.00014840884516717197,0.8748701422604789,0.1249814488943541
