Weight Strategy,Weighted Median Price,0x37b18b10ce5635a84834b26095a0ae5639dcb752,0x59ab5a5b5d617e478a2479b0cad80da7e2831492

Buy paired 1%,2999.168390202903,0.004424778761061947,0.995575221238938
Sell paired 1%,2999.168390202903,0.012738853503184714,0.9872611464968153
Buy paired 2%,2999.168390202903,0.004329004329004329,0.9956709956709957
Sell paired 2%,2999.168390202903,0.01098901098901099,0.989010989010989
Buy paired 3%,2999.168390202903,0.00423728813559322,0.9957627118644068
Sell paired 3%,2999.168390202903,0.01015228426395939,0.9898477157360406
Buy paired $10k,2999.168390202903,0.003984063745019921,0.9960159362549801
Sell paired $10k,2999.168390202903,0.000012614953766194449,0.9999873850462337
Buy paired $20k,2999.168390202903,0.0002452182442373713,0.9997547817557627
Sell paired $20k,2999.168390202903,0.00011155734047300312,0.9998884426595269
Buy paired $50k,2999.168390202903,0.0002620201755535176,0.9997379798244465
Sell paired $50k,2999.168390202903,0.00020861583394179617,0.9997913841660582
Buy paired $100k,2999.168390202903,0.0003402132002721705,0.9996597867997279
Sell paired $100k,2999.168390202903,0.0004082882515055629,0.9995917117484944
Buy paired $200k,2999.168390202903,0.0006373486297004462,0.9993626513702996
Sell paired $200k,2999.168390202903,0.0009086320040383645,0.9990913679959617
Buy paired $500k,2999.168390202903,0.001227621483375959,0.998772378516624
Sell paired $500k,2999.168390202903,0.003402381667167017,0.996597618332833
Buy paired $1000k,2999.168390202903,0.001818181818181818,0.9981818181818182
Sell paired $1000k,2999.168390202903,0.04278177458033574,0.9572182254196643
