Weight Strategy,Weighted Median Price,0x13947303F63b363876868D070F14dc865C36463b,0xb9debddf1d894c79d2b2d09f819ff9b856fca552,0x05ff47afada98a98982113758878f9a8b9fdda0a,0x2A8b91503980B2965FeF0E1680D2d113f04368a0

Buy paired 1%,2273.1656997588702,0.2459546925566343,0.016181229773462782,0.34951456310679613,0.3883495145631068
Sell paired 1%,2273.1656997588702,0.4621309370988447,0.01797175866495507,0.43645699614890887,0.0834403080872914
Buy paired 2%,2273.1656997588702,0.26993865030674846,0.018404907975460124,0.34355828220858897,0.36809815950920244
Sell paired 2%,2273.1656997588702,0.4756242568370987,0.019024970273483946,0.4280618311533888,0.07728894173602854
Buy paired 3%,2273.1656997588702,0.2787878787878788,0.01818181818181818,0.3393939393939394,0.36363636363636365
Sell paired 3%,2273.1656997588702,0.4767309875141884,0.018161180476730987,0.43132803632236094,0.07377979568671963
Buy paired $10k,2273.1656997588702,0.3278688524590164,0.016393442622950824,0.3278688524590164,0.3278688524590164
Sell paired $10k,2273.1656997588702,0.3278688524590164,0.016393442622950824,0.3278688524590164,0.3278688524590164
Buy paired $20k,2273.1656997588702,0.3305785123966942,0.008264462809917357,0.3305785123966942,0.3305785123966942
Sell paired $20k,2273.1656997588702,0.33112582781456956,0.006622516556291392,0.33112582781456956,0.33112582781456956
Buy paired $50k,2273.1656997588702,0.08256880733944955,0.009174311926605505,0.8256880733944953,0.08256880733944955
Sell paired $50k,2273.1656997588702,0.08307692307692309,0.003076923076923077,0.8307692307692308,0.08307692307692309
Buy paired $100k,2273.1656997588702,0.24509803921568626,0.0196078431372549,0.49019607843137253,0.24509803921568626
Sell paired $100k,2273.1656997588702,0.24994277866788742,0.00022888532845044633,0.49988555733577483,0.24994277866788742
Buy paired $200k,2273.1656997588702,0.24992851015155848,0.0002859593937660852,0.49985702030311696,0.24992851015155848
Sell paired $200k,2273.1656997588702,0.22218159213076388,0.00018283541156251143,0.5554539803269097,0.22218159213076388
Buy paired $500k,2273.1656997588702,0.2010571863681699,0.0002989900027105407,0.5529072625124674,0.24573656111665212
Sell paired $500k,2273.1656997588702,0.33304207067724073,0.00047413748346504785,0.6660841413544815,0.00039965048481268884
Buy paired $1000k,2273.1656997588702,0.1670474645518674,0.0004993370979936251,0.5429042597935689,0.2895489385565701
Sell paired $1000k,2273.1656997588702,0.3687411632273592,0.0011604442467274463,0.6290290431525539,0.0010693493733593417
